Time (s),Voltage (V)
0.0010294914245605469,0.0
0.10198521614074707,0.0
0.20972037315368652,0.0
0.31203150749206543,0.0
0.4133579730987549,0.0
0.5146541595458984,0.0
0.6153321266174316,0.0
0.7161304950714111,0.0
0.8172926902770996,0.0
0.9216372966766357,0.0
1.0219700336456299,0.0
1.1230871677398682,0.0
1.2281556129455566,0.0
1.3287065029144287,0.0
1.429964303970337,0.0
1.5314085483551025,0.0
1.6335580348968506,0.0
1.7452869415283203,0.0
1.8455209732055664,0.0
1.9465010166168213,0.0
2.047435760498047,0.0
2.1490519046783447,0.0
2.2502081394195557,0.0
2.354048252105713,0.0
2.455049991607666,0.0
2.5564982891082764,0.0
2.6583609580993652,0.0
2.762885808944702,0.0
2.863795280456543,0.0
2.9653093814849854,0.0
3.0666375160217285,0.0
3.1674153804779053,0.0
3.268367052078247,0.0
3.3696393966674805,0.0
3.470227003097534,0.0
3.5708141326904297,0.0
3.6718833446502686,0.0
3.7726891040802,0.0
3.873964548110962,0.0
3.9754645824432373,0.0
4.07724404335022,0.0
4.178165435791016,0.0
4.278606653213501,0.0
4.379589319229126,0.0
4.4805824756622314,0.0
4.581272125244141,0.0
4.68229341506958,0.0
4.783563137054443,0.0
4.884291410446167,0.0
4.985454797744751,0.0
5.087469816207886,0.0
5.188225746154785,0.0
5.29120397567749,0.0
5.3958752155303955,0.0
5.497402667999268,0.0
5.5978357791900635,0.0
5.699325084686279,0.0
5.800049066543579,0.0
5.901381492614746,0.0
6.002772092819214,0.0
6.103797912597656,0.0
6.205180406570435,0.0
6.30905556678772,0.0
6.410013198852539,0.0
6.510605096817017,0.0
6.611151933670044,0.0
6.712048530578613,0.0
6.8128650188446045,0.0
6.914139986038208,0.0
7.0152904987335205,0.22
7.1185173988342285,0.35
7.219162225723267,0.56
7.320373058319092,0.62
7.4216389656066895,0.65
7.5225138664245605,0.65
7.626237392425537,0.64
7.726637125015259,0.64
7.830290079116821,0.64
7.930783987045288,0.65
8.031505107879639,0.65
8.132971048355103,0.65
8.234565258026123,0.64
8.33579707145691,0.64
8.438026189804077,0.64
8.541887521743774,0.64
8.643229961395264,0.63
8.743785858154297,0.63
8.844743490219116,0.64
8.947134494781494,0.63
9.04779314994812,0.63
9.148674011230469,0.63
9.250216245651245,0.63
