Time (s),Voltage (V)
0.0,0.0
0.10286521911621094,0.0
0.20357799530029297,0.0
0.30509018898010254,0.0
0.40630459785461426,0.0
0.5069990158081055,0.0
0.6072654724121094,0.0
0.7210979461669922,0.0
0.8344848155975342,0.0
0.9349133968353271,0.0
1.0362045764923096,0.0
1.1369895935058594,0.0
1.2381889820098877,0.0
1.3386638164520264,0.0
1.4446804523468018,0.0
1.545409917831421,0.0
1.6702039241790771,0.0
1.7826156616210938,0.0
1.883197546005249,0.0
1.9841854572296143,0.0
2.084996461868286,0.0
2.1863772869110107,0.0
2.2873737812042236,0.0
2.3884551525115967,0.0
2.4894661903381348,0.0
2.5917067527770996,0.0
2.6938445568084717,0.0
2.79555606842041,0.0
2.918551206588745,0.0
3.0383408069610596,0.0
3.1401994228363037,0.0
3.2522432804107666,0.0
3.35282039642334,0.0
3.4542102813720703,0.0
3.555083990097046,0.0
3.657255172729492,0.0
3.76611328125,0.0
3.8670265674591064,0.0
3.9679055213928223,0.0
4.069899082183838,0.0
4.170581579208374,0.0
4.284372329711914,0.0
4.384990930557251,0.0
4.48608922958374,0.0
4.586808919906616,0.0
4.6877617835998535,0.0
4.789936304092407,0.0
4.892676830291748,0.0
5.016183137893677,0.0
5.116606712341309,0.0
5.217607498168945,0.0
5.318054676055908,0.0
5.4185261726379395,0.0
5.522431373596191,0.41
5.634880542755127,0.37
5.7742919921875,0.22
5.886057615280151,0.41
6.007753372192383,0.34
6.139383792877197,0.26
6.258267641067505,0.17
6.370161056518555,0.41
6.47055459022522,0.54
6.571584939956665,0.62
6.686809778213501,0.65
6.789244890213013,0.65
6.891001224517822,0.65
6.992603302001953,0.65
7.0938944816589355,0.65
7.195042371749878,0.65
7.296386241912842,0.64
7.397934198379517,0.64
7.498934268951416,0.64
7.599618673324585,0.64
7.7003655433654785,0.63
7.801225662231445,0.63
7.9020631313323975,0.63
8.004626035690308,0.63
8.105385303497314,0.62
8.207024574279785,0.62
8.307875394821167,0.62
8.408702850341797,0.62
8.509723424911499,0.62
8.610601902008057,0.61
8.711573123931885,0.61
8.815247774124146,0.61
8.916388273239136,0.61
9.016718626022339,0.61
9.117570161819458,0.61
9.218803644180298,0.6
9.319680213928223,0.6
9.420395135879517,0.6
9.521612644195557,0.6
9.623003482818604,0.6
9.724743366241455,0.6
9.826383352279663,0.6
9.931089401245117,0.6
10.032334327697754,0.59
10.133332252502441,0.59
10.23397159576416,0.59
10.334660768508911,0.59
10.435327768325806,0.59
10.539620637893677,0.59
10.641539812088013,0.59
10.742810249328613,0.59
10.874576330184937,0.59
10.975204467773438,0.59
11.075967788696289,0.58
11.17708420753479,0.58
11.280457258224487,0.58
11.413780450820923,0.58
11.5163733959198,0.58
11.617319583892822,0.58
11.718736171722412,0.58
11.821085214614868,0.58
11.94452452659607,0.58
12.046286821365356,0.58
12.147303819656372,0.58
12.274065494537354,0.58
12.374930143356323,0.57
12.482454061508179,0.57
12.58344292640686,0.57
12.684785842895508,0.57
12.785840272903442,0.57
12.886950254440308,0.57
13.014605045318604,0.57
13.116548538208008,0.57
13.219239950180054,0.57
13.320018529891968,0.57
13.421573638916016,0.57
13.548035144805908,0.57
13.651719331741333,0.56
13.752345561981201,0.56
13.854421615600586,0.56
13.95525860786438,0.56
14.082532167434692,0.56
14.183106899261475,0.56
14.28363561630249,0.56
14.38431453704834,0.56
14.485437154769897,0.56
14.58826231956482,0.56
14.689133644104004,0.56
14.793890953063965,0.56
14.894829511642456,0.56
14.99715781211853,0.56
15.101189136505127,0.56
15.202171087265015,0.56
15.303288221359253,0.56
15.404426097869873,0.56
15.505501508712769,0.56
15.608582258224487,0.55
15.709811449050903,0.55
15.811809778213501,0.55
15.922463417053223,0.55
16.02334499359131,0.55
16.12428116798401,0.55
16.224794149398804,0.55
16.325661182403564,0.55
16.426090955734253,0.55
16.527086973190308,0.55
16.628643035888672,0.55
16.730263471603394,0.55
16.83144783973694,0.55
16.932241678237915,0.55
17.033204555511475,0.55
17.13389754295349,0.55
17.235488891601562,0.55
17.33660387992859,0.55
17.437774181365967,0.55
17.539315462112427,0.55
17.6417338848114,0.55
17.74208688735962,0.55
17.844107627868652,0.55
17.945680856704712,0.55
18.04943060874939,0.55
18.17438507080078,0.55
18.275071620941162,0.55
18.37803554534912,0.54
18.483307123184204,0.54
18.584350109100342,0.54
18.68618369102478,0.54
18.787193298339844,0.54
18.889203786849976,0.54
18.990033626556396,0.54
19.0911283493042,0.54
19.192201137542725,0.54
19.292684078216553,0.54
19.393473625183105,0.54
19.494338035583496,0.54
19.602713108062744,0.54
19.70385432243347,0.54
19.806066274642944,0.54
19.9082932472229,0.54
20.00865912437439,0.54
20.11031413078308,0.54
20.211374521255493,0.54
20.31296467781067,0.54
20.48228669166565,0.54
20.58365535736084,0.54
20.68566608428955,0.54
20.787150621414185,0.54
20.888134002685547,0.54
20.997627019882202,0.54
21.09908652305603,0.54
21.204106330871582,0.54
21.305854320526123,0.54
21.406368255615234,0.54
21.506815910339355,0.54
21.60883617401123,0.54
21.709431648254395,0.54
21.81123113632202,0.54
21.912938833236694,0.54
22.026628017425537,0.54
22.130143404006958,0.53
22.231340169906616,0.53
22.332461833953857,0.53
22.433181285858154,0.53
22.534793853759766,0.53
22.635797262191772,0.53
22.7376229763031,0.53
22.838773250579834,0.53
22.93968915939331,0.53
23.040712118148804,0.53
23.144335746765137,0.53
23.244927406311035,0.53
23.34786891937256,0.53
23.44952964782715,0.53
23.55036187171936,0.53
23.66221809387207,0.53
23.766082763671875,0.53
23.868439197540283,0.53
23.96951389312744,0.53
24.07048797607422,0.53
24.171406745910645,0.53
24.272088527679443,0.53
24.372807502746582,0.53
24.493436813354492,0.53
24.596221208572388,0.53
24.697094678878784,0.53
24.799474954605103,0.53
24.900001049041748,0.53
25.006123304367065,0.53
25.10698628425598,0.53
25.23713517189026,0.53
25.33746862411499,0.53
25.440064191818237,0.53
25.542537450790405,0.53
25.648518562316895,0.53
25.750262022018433,0.53
25.851006507873535,0.53
25.951977968215942,0.53
26.05309557914734,0.53
26.1539626121521,0.53
26.25476598739624,0.53
26.355644702911377,0.53
26.473238468170166,0.52
26.57421112060547,0.52
26.67514657974243,0.52
26.778385639190674,0.52
26.883734941482544,0.52
26.984333515167236,0.52
27.08553385734558,0.52
27.187105178833008,0.52
27.288164138793945,0.52
27.389337062835693,0.52
27.490522623062134,0.52
27.59179949760437,0.52
27.693156003952026,0.52
27.794417142868042,0.52
27.918355226516724,0.52
28.0190749168396,0.52
28.119900703430176,0.52
28.220858335494995,0.52
28.323949098587036,0.52
28.42488956451416,0.52
28.525285005569458,0.52
28.62659215927124,0.52
28.72747778892517,0.52
28.830381870269775,0.52
28.930750370025635,0.52
29.033156871795654,0.52
29.134144067764282,0.52
29.235673189163208,0.52
29.336674213409424,0.52
29.437485933303833,0.52
29.55555748939514,0.52
29.69518756866455,0.52
29.796241521835327,0.52
29.898077726364136,0.52
30.00109028816223,0.52
30.101766109466553,0.52
30.203036308288574,0.52
30.304424285888672,0.52
30.405920028686523,0.52
30.54934310913086,0.52
30.65087080001831,0.52
