Time (s),Voltage (V)
0.0,0.0
0.10136795043945312,0.0
0.20345044136047363,0.0
0.3040285110473633,0.0
0.40509676933288574,0.0
0.5195324420928955,0.0
0.6216018199920654,0.0
0.7259006500244141,0.0
0.826347827911377,0.0
0.9267711639404297,0.0
1.0272765159606934,0.0
1.1278705596923828,0.0
1.2289700508117676,0.0
1.3770766258239746,0.0
1.4784519672393799,0.0
1.5854337215423584,0.0
1.6880741119384766,0.0
1.7884740829467773,0.0
1.8894891738891602,0.0
1.991056203842163,0.0
2.091953992843628,0.0
2.193458080291748,0.0
2.2942187786102295,0.0
2.395333766937256,0.0
2.497804880142212,0.0
2.5983893871307373,0.0
2.6996400356292725,0.0
2.8003416061401367,0.0
2.901484251022339,0.0
3.00240421295166,0.0
3.103459119796753,0.0
3.2054026126861572,0.0
3.3232920169830322,0.0
3.4285573959350586,0.0
3.535187244415283,0.22
3.636162042617798,0.32
3.7369062900543213,0.28
3.8376548290252686,0.49
3.938849925994873,0.6
4.039787769317627,0.59
4.140400171279907,0.71
4.2425572872161865,0.71
4.344280481338501,0.72
4.445284128189087,0.71
4.549331903457642,0.71
4.656619548797607,0.71
4.757761478424072,0.71
4.861081123352051,0.71
4.962249517440796,0.7
5.0649573802948,0.7
5.1671929359436035,0.7
5.267836093902588,0.7
5.368974685668945,0.7
5.47287917137146,0.7
5.575616836547852,0.7
5.676947355270386,0.69
5.778280019760132,0.69
5.882420063018799,0.69
5.982745409011841,0.69
6.084022521972656,0.69
6.184924602508545,0.69
6.2860777378082275,0.69
6.387403249740601,0.68
6.488668441772461,0.68
6.591407060623169,0.68
6.693570137023926,0.68
6.794679880142212,0.68
6.897799730300903,0.68
6.998161554336548,0.68
7.099053621292114,0.68
7.2380311489105225,0.68
7.349091291427612,0.67
7.451037883758545,0.67
7.551512241363525,0.67
7.6524498462677,0.67
7.7531983852386475,0.67
7.8539040088653564,0.67
7.954637765884399,0.67
8.055548906326294,0.67
8.156270980834961,0.67
8.258071184158325,0.67
8.359350442886353,0.67
8.461094379425049,0.66
8.563700675964355,0.66
8.667922973632812,0.66
8.771650552749634,0.66
8.872623920440674,0.66
8.97594404220581,0.66
9.076992750167847,0.66
9.178982496261597,0.66
9.282788515090942,0.66
9.397110223770142,0.66
9.49997615814209,0.66
9.601338863372803,0.66
9.704162836074829,0.66
9.805002689361572,0.66
9.906251192092896,0.65
10.007754564285278,0.65
10.109034299850464,0.65
10.210039377212524,0.65
10.311181545257568,0.65
10.41263198852539,0.65
10.514665365219116,0.65
10.615428924560547,0.65
10.717449188232422,0.65
10.818608283996582,0.65
10.920392274856567,0.65
11.021484851837158,0.65
11.12231159210205,0.65
11.224027156829834,0.65
11.325145244598389,0.65
11.426392555236816,0.65
11.52774953842163,0.65
11.628476619720459,0.65
11.731926679611206,0.65
11.83308458328247,0.65
11.9348464012146,0.65
12.036198139190674,0.65
12.137557029724121,0.65
12.238677740097046,0.65
12.340160131454468,0.64
12.442564010620117,0.64
12.544095516204834,0.64
12.648972511291504,0.64
12.751563549041748,0.64
12.852047681808472,0.64
12.953256368637085,0.64
13.054584741592407,0.64
13.155198097229004,0.64
13.257313013076782,0.64
13.359682083129883,0.64
13.461020708084106,0.64
13.56185245513916,0.64
13.666975736618042,0.64
13.76822566986084,0.64
13.869332075119019,0.64
13.970646858215332,0.64
14.071944236755371,0.64
14.173334121704102,0.63
14.274473428726196,0.63
14.375661849975586,0.63
14.477201461791992,0.63
14.581702947616577,0.63
14.68424916267395,0.63
14.788986921310425,0.63
14.88973617553711,0.63
14.991259098052979,0.63
15.092901706695557,0.63
15.19464373588562,0.63
15.295490741729736,0.63
15.398532152175903,0.63
15.500978708267212,0.63
15.601793050765991,0.63
15.702352523803711,0.63
15.805366516113281,0.63
15.906718254089355,0.63
16.00709891319275,0.63
16.107775926589966,0.63
16.20946168899536,0.63
16.310393810272217,0.63
16.411426067352295,0.63
16.52237582206726,0.63
16.622987031936646,0.63
16.723471641540527,0.63
16.824124813079834,0.62
16.92448115348816,0.62
17.02507185935974,0.62
17.125314712524414,0.62
17.225756645202637,0.62
17.327093601226807,0.62
17.43037438392639,0.62
17.53093981742859,0.62
17.631879329681396,0.62
17.733049631118774,0.62
17.834316968917847,0.62
17.935724020004272,0.62
18.03684377670288,0.62
18.13793182373047,0.62
18.23908042907715,0.62
18.340838193893433,0.62
18.442408323287964,0.61
18.54367733001709,0.61
18.644840240478516,0.61
18.74612307548523,0.61
18.847609281539917,0.61
18.94852590560913,0.61
19.04940438270569,0.61
19.15104651451111,0.61
19.252424240112305,0.61
19.354045152664185,0.61
19.4554226398468,0.61
19.55768084526062,0.61
19.66074538230896,0.61
19.806899547576904,0.61
19.907533645629883,0.61
20.0138897895813,0.61
20.1204514503479,0.61
20.222371101379395,0.61
20.32323122024536,0.61
20.424065351486206,0.61
20.52545475959778,0.61
20.626670122146606,0.61
20.728052616119385,0.61
20.83221673965454,0.61
20.932897329330444,0.61
21.034160614013672,0.61
21.137101888656616,0.61
21.238417863845825,0.61
21.351637601852417,0.61
21.45432424545288,0.61
21.55520009994507,0.61
21.656562328338623,0.61
21.76067805290222,0.6
21.86123561859131,0.61
21.962648630142212,0.6
22.064439296722412,0.6
22.164994478225708,0.6
22.26757574081421,0.6
22.370408535003662,0.6
22.471394777297974,0.6
22.57257080078125,0.6
22.67378807067871,0.6
22.77505373954773,0.6
22.87605381011963,0.6
22.977635145187378,0.6
23.07899808883667,0.6
23.179860830307007,0.6
23.28265357017517,0.6
23.383336305618286,0.6
23.484581470489502,0.6
23.586074829101562,0.6
23.687259435653687,0.6
23.789430379867554,0.6
23.89090085029602,0.6
23.991363286972046,0.6
24.094010829925537,0.6
24.20538067817688,0.6
24.309340476989746,0.6
24.410264253616333,0.6
24.514786958694458,0.6
24.6174054145813,0.6
24.718957901000977,0.6
24.819510221481323,0.6
24.920478343963623,0.6
25.021524667739868,0.6
25.122458457946777,0.6
25.223048448562622,0.6
25.32378363609314,0.6
25.425442218780518,0.6
25.535257577896118,0.6
25.637308597564697,0.6
25.738836526870728,0.6
25.844039916992188,0.6
25.951319694519043,0.59
26.05465054512024,0.59
26.163959980010986,0.6
26.265112161636353,0.59
26.367100954055786,0.59
26.470258235931396,0.59
26.571321725845337,0.59
26.67232894897461,0.59
26.773753881454468,0.59
26.87438941001892,0.59
26.976873636245728,0.59
27.07807731628418,0.59
27.18119239807129,0.59
27.283348321914673,0.59
27.383684158325195,0.59
27.489306926727295,0.59
27.590160369873047,0.59
27.694658041000366,0.59
27.799227952957153,0.59
27.90066695213318,0.59
28.001685619354248,0.59
28.103031635284424,0.59
28.204008102416992,0.59
28.30533456802368,0.59
28.406742095947266,0.59
28.508732557296753,0.59
28.61084747314453,0.59
28.71703052520752,0.59
28.820316553115845,0.59
28.921704053878784,0.59
29.024051904678345,0.59
29.125171422958374,0.59
29.22648000717163,0.59
29.330265522003174,0.59
29.43132257461548,0.59
29.533108711242676,0.59
29.634084224700928,0.59
29.74717426300049,0.59
29.847846269607544,0.59
29.949091911315918,0.59
30.051119327545166,0.59
30.15437889099121,0.59
30.254966259002686,0.59
30.35602045059204,0.59
30.45834970474243,0.59
30.55985927581787,0.59
30.663939476013184,0.59
30.764673709869385,0.59
30.86633586883545,0.58
30.967615604400635,0.59
31.070647478103638,0.58
31.17184090614319,0.58
31.27254366874695,0.58
31.375009536743164,0.58
31.476134538650513,0.58
31.58957314491272,0.58
31.690718173980713,0.58
31.791890621185303,0.58
31.89269518852234,0.58
31.99307346343994,0.58
32.0941276550293,0.58
32.19606328010559,0.58
32.29897093772888,0.58
32.40042543411255,0.58
32.500977754592896,0.58
32.602113246917725,0.58
32.70370101928711,0.58
32.80454468727112,0.58
32.905742168426514,0.58
33.0061674118042,0.58
33.11390137672424,0.58
33.21563529968262,0.58
33.31653308868408,0.58
33.4184775352478,0.58
33.56469917297363,0.58
33.67303800582886,0.58
33.774160861968994,0.58
33.87507748603821,0.58
33.97665238380432,0.58
34.07744288444519,0.58
34.178951025009155,0.58
34.27958011627197,0.58
34.38204741477966,0.58
34.48229265213013,0.58
34.583096981048584,0.58
34.68386268615723,0.58
34.78504943847656,0.58
34.88591504096985,0.58
34.9868061542511,0.58
35.09018135070801,0.58
35.190683364868164,0.58
35.29282808303833,0.58
35.39348387718201,0.58
35.49608016014099,0.58
35.597609519958496,0.58
35.699018716812134,0.58
35.79969000816345,0.58
35.900482416152954,0.58
36.00537347793579,0.58
36.10636353492737,0.58
36.207642793655396,0.58
36.3090341091156,0.58
36.40969491004944,0.58
36.510820627212524,0.58
36.612083435058594,0.58
36.71260666847229,0.58
36.814037799835205,0.58
36.91473317146301,0.57
37.0182089805603,0.57
37.119539737701416,0.57
37.22097945213318,0.57
37.32213878631592,0.57
37.4232063293457,0.57
37.52419948577881,0.57
37.62553143501282,0.57
37.725993394851685,0.57
37.8472945690155,0.57
37.948513984680176,0.57
38.04917049407959,0.57
38.150428771972656,0.57
38.25091195106506,0.57
38.352099657058716,0.57
38.45318555831909,0.57
38.55890226364136,0.57
38.66057515144348,0.57
38.765586137771606,0.57
38.86631798744202,0.57
38.96723294258118,0.57
39.0684711933136,0.57
39.17006301879883,0.57
39.27138590812683,0.57
39.37313151359558,0.57
39.4750235080719,0.57
39.58017945289612,0.57
39.68148136138916,0.57
39.7823052406311,0.57
39.885992765426636,0.57
39.98670172691345,0.57
40.088412046432495,0.57
40.1897611618042,0.57
40.29061937332153,0.57
40.39212512969971,0.57
40.49623465538025,0.57
40.59708499908447,0.57
40.70179724693298,0.57
40.803587436676025,0.57
40.90533471107483,0.57
41.012178897857666,0.57
41.196866273880005,0.57
41.32359766960144,0.57
41.42474055290222,0.57
41.54771280288696,0.57
41.67444705963135,0.57
41.775038957595825,0.57
41.88153672218323,0.57
41.98196816444397,0.57
42.08357858657837,0.57
42.184694051742554,0.57
42.28702092170715,0.57
42.38801097869873,0.57
42.48965334892273,0.57
42.60690999031067,0.57
42.70730900764465,0.57
42.809544801712036,0.57
42.915507793426514,0.57
43.02189636230469,0.57
43.12329649925232,0.57
43.224586725234985,0.57
43.32596445083618,0.57
43.42967748641968,0.57
43.54312562942505,0.57
43.64575457572937,0.57
43.75699734687805,0.56
43.86241817474365,0.56
43.96322298049927,0.56
44.06423282623291,0.56
44.165350675582886,0.57
44.26652216911316,0.56
44.367290019989014,0.56
44.46822690963745,0.56
44.56943464279175,0.56
44.66988182067871,0.56
44.77032136917114,0.56
44.87955188751221,0.56
44.983367919921875,0.56
45.08584761619568,0.56
45.18712091445923,0.56
45.28770351409912,0.56
45.39177846908569,0.56
45.492518186569214,0.56
45.593585729599,0.56
45.696995973587036,0.56
45.79815173149109,0.56
45.957539796829224,0.56
46.07545614242554,0.56
46.17633271217346,0.56
46.277161836624146,0.56
46.37814998626709,0.56
46.47882437705994,0.56
46.579660415649414,0.56
46.68135452270508,0.56
46.782193660736084,0.56
46.88359069824219,0.56
46.98428297042847,0.56
47.084835052490234,0.56
47.21416735649109,0.56
47.31496286392212,0.56
47.41580295562744,0.56
47.5169312953949,0.56
47.61814045906067,0.56
47.71927237510681,0.56
47.82047772407532,0.56
47.921640396118164,0.56
48.02274680137634,0.56
48.12418270111084,0.56
48.225356101989746,0.56
48.32578802108765,0.56
48.42665123939514,0.56
48.527899503707886,0.56
48.62918949127197,0.56
48.73009753227234,0.56
48.83121037483215,0.56
48.93203806877136,0.56
49.0330228805542,0.56
49.13367438316345,0.56
49.23454666137695,0.56
49.33544564247131,0.56
49.436994791030884,0.56
49.538379192352295,0.56
49.639519453048706,0.56
49.740684509277344,0.56
49.84169054031372,0.56
49.94293475151062,0.56
50.04656529426575,0.56
50.15079379081726,0.56
50.25201964378357,0.56
50.35285425186157,0.56
50.454421281814575,0.56
50.55589461326599,0.56
50.6569139957428,0.56
50.75833463668823,0.56
50.864495515823364,0.56
50.96578073501587,0.56
51.06721377372742,0.56
51.170124530792236,0.56
51.27222228050232,0.56
51.376551151275635,0.56
51.482574701309204,0.56
51.58385133743286,0.56
51.68883514404297,0.56
51.789994955062866,0.56
51.89089298248291,0.56
51.998589277267456,0.55
52.09943771362305,0.56
52.201568603515625,0.55
52.30463099479675,0.55
52.40642690658569,0.55
52.50759410858154,0.55
52.60883402824402,0.55
52.71111345291138,0.55
52.81616568565369,0.55
52.91689157485962,0.56
53.01796889305115,0.55
53.11910891532898,0.55
53.219955921173096,0.55
53.321049213409424,0.55
53.421916007995605,0.55
53.52318596839905,0.55
53.62453317642212,0.55
53.725531578063965,0.55
53.82669711112976,0.55
53.9279203414917,0.55
54.03587627410889,0.55
54.14089298248291,0.55
54.24198269844055,0.55
54.34430170059204,0.55
54.44560670852661,0.55
54.554025411605835,0.55
54.6548490524292,0.55
54.75795125961304,0.55
54.85904908180237,0.55
54.96473741531372,0.55
55.07292890548706,0.55
55.174532651901245,0.55
55.275484800338745,0.55
55.37710237503052,0.55
55.48103046417236,0.55
55.586403608322144,0.55
55.687416315078735,0.55
55.788655042648315,0.55
55.88983917236328,0.55
55.99076175689697,0.55
56.24027681350708,0.55
56.389092445373535,0.55
56.5713849067688,0.55
56.73992967605591,0.55
56.8418664932251,0.55
56.95700716972351,0.55
57.066755056381226,0.55
57.17038893699646,0.55
57.27107095718384,0.55
57.371817111968994,0.55
57.474092960357666,0.55
57.574671268463135,0.55
57.67792010307312,0.55
57.77837944030762,0.55
57.879146099090576,0.55
57.982603311538696,0.55
58.08338403701782,0.55
58.18401312828064,0.55
58.28520178794861,0.55
58.385732889175415,0.55
58.48692798614502,0.55
58.587461709976196,0.55
58.688743591308594,0.55
58.78988480567932,0.55
58.89089369773865,0.55
58.99299168586731,0.55
59.09474468231201,0.55
59.19693732261658,0.55
59.29721403121948,0.55
59.39792251586914,0.55
59.49914193153381,0.55
59.60192680358887,0.55
59.714582681655884,0.55
59.817806005477905,0.55
59.92250657081604,0.55
60.02828407287598,0.55
60.129952907562256,0.55
60.23036313056946,0.55
60.33106803894043,0.55
60.43184995651245,0.55
60.532700061798096,0.55
60.63353443145752,0.55
60.734687089920044,0.55
60.835813999176025,0.55
60.936363220214844,0.55
61.03728365898132,0.55
61.138155698776245,0.55
61.23910641670227,0.55
61.33963632583618,0.55
61.441956520080566,0.55
61.54769492149353,0.55
61.64927411079407,0.55
61.750187397003174,0.55
61.85094904899597,0.55
61.951815605163574,0.55
62.052241802215576,0.55
62.15274262428284,0.55
62.25318384170532,0.55
62.35378694534302,0.55
62.45556163787842,0.55
62.55638241767883,0.55
62.65716600418091,0.54
62.75995421409607,0.55
62.86283302307129,0.54
62.963709354400635,0.54
63.06470537185669,0.54
63.166032552719116,0.54
63.279319524765015,0.54
63.38345384597778,0.54
63.48438882827759,0.54
63.58491611480713,0.54
63.68778443336487,0.54
63.78863167762756,0.54
63.889235496520996,0.54
63.98985028266907,0.54
64.09041213989258,0.54
64.1909167766571,0.54
64.29164004325867,0.54
64.39248895645142,0.54
64.49312782287598,0.54
64.59387564659119,0.54
64.71839833259583,0.54
64.82661747932434,0.54
64.92781043052673,0.54
65.02873969078064,0.54
65.12931895256042,0.54
65.22964859008789,0.54
65.3309257030487,0.54
65.4322988986969,0.54
65.53350234031677,0.54
65.63569784164429,0.54
65.73798489570618,0.54
65.83928894996643,0.54
65.9417417049408,0.54
66.04294776916504,0.54
66.14488410949707,0.54
66.24649047851562,0.54
66.34710431098938,0.54
66.44826483726501,0.54
66.54935359954834,0.54
66.65046668052673,0.54
66.75246691703796,0.54
66.85370230674744,0.54
66.95494318008423,0.54
67.0561249256134,0.54
67.15915608406067,0.54
67.26296877861023,0.54
67.36412620544434,0.54
67.46485424041748,0.54
67.56612300872803,0.54
67.66768169403076,0.54
67.76847743988037,0.54
67.87028765678406,0.54
67.97922492027283,0.54
68.08034920692444,0.54
68.18109560012817,0.54
68.2821729183197,0.54
68.38318753242493,0.54
68.48384356498718,0.54
68.58492684364319,0.54
68.68668174743652,0.54
68.78778338432312,0.54
68.89001202583313,0.54
68.99062728881836,0.54
69.09320211410522,0.54
69.19511818885803,0.54
69.29603219032288,0.54
69.39801526069641,0.54
69.49871802330017,0.54
69.60038924217224,0.54
69.70387434959412,0.54
69.80609202384949,0.54
69.90796375274658,0.54
70.01484489440918,0.54
70.1156394481659,0.54
70.21688461303711,0.54
70.3179349899292,0.54
70.42009329795837,0.54
70.52106094360352,0.54
70.62258839607239,0.54
70.72415208816528,0.54
70.88953185081482,0.54
70.99055051803589,0.54
71.09212875366211,0.54
71.19521355628967,0.54
71.29591131210327,0.54
71.39797449111938,0.54
71.49906802177429,0.54
71.60026264190674,0.54
71.70158195495605,0.54
71.80293035507202,0.54
71.90446996688843,0.54
72.00598812103271,0.54
72.10729837417603,0.54
72.20884323120117,0.54
72.3109540939331,0.54
72.41203236579895,0.54
72.5128128528595,0.54
72.61395025253296,0.54
72.71504926681519,0.54
72.81702637672424,0.54
